Jobs_Name,Rating,Job_City,Company_Founded_Year,Type_Of_Ownership,Industry,Sector,Hourly_Salary,Employer_Provided_Salary,Salary_Lower,Salary_Upper,Salary_Avg,Company_Name,Job_State,Company_Age,Python,Spark,AWS,Excel,SQL,SAS,Keras,PyTorch,Scikit-learn,TensorFlow,Hadoop,Tableau,"Power BI",Flink,MongoDB,"Google Analytics",Job_Title_Sim,Seniority_Level,Employee_Degree,Company_id,Ownership_Category
"Lead Data Engineer",4.1,"Mountain View",2010,"Company - Private",Internet,"Information Technology",0,0,190000.00,220000.00,205000.00,"Credit Sesame",California,11,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Data Engineer",Senior,"Not Specified",13,Corporate
"Data Analyst",4.2,"San Francisco",2008,"Company - Private","IT Services","Information Technology",0,0,64000.00,112000.00,88000.00,"Sauce Labs",California,13,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,"Data Analyst","Not Specified","Not Specified",14,Corporate
"Data Engineer",3.6,Marlborough,NULL,"Company - Private","Unknown / Non-Applicable","Unknown / Non-Applicable",0,0,68000.00,129000.00,98500.00,Persivia,Massachusetts,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Data Engineer","Not Specified","Not Specified",15,Corporate
"Data Scientist - Algorithms & Inference",4.2,"San Francisco",2010,"Company - Private","Enterprise Software & Network Solutions","Information Technology",0,0,110000.00,175000.00,142500.00,Nuna,California,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist","Not Specified",Masters,16,Corporate
"Data Scientist",2.9,"New York",1998,"Company - Private","Advertising & Marketing","Business Services",0,0,86000.00,143000.00,114500.00,"Affinity Solutions","New York",23,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"Data Scientist","Not Specified","Not Specified",17,Corporate
"Data Scientist",3.4,Dallas,2000,"Company - Public","Real Estate","Real Estate",0,0,71000.00,119000.00,95000.00,CyrusOne,Texas,21,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,"Data Scientist","Not Specified","Not Specified",18,Corporate
"Data Scientist",4.1,Baltimore,2008,"Company - Private","Banks & Credit Unions",Finance,0,0,54000.00,93000.00,73500.00,"ClearOne Advantage",Maryland,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist","Not Specified","Not Specified",19,Corporate
"Data Scientist",3.8,"San Jose",2005,"Company - Private",Consulting,"Business Services",0,0,86000.00,142000.00,114000.00,Logic20/20,California,16,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,"Data Scientist","Not Specified",Masters,20,Corporate
"Research Scientist",3.3,Rochester,2014,Hospital,"Health Care Services & Hospitals","Health Care",0,0,38000.00,84000.00,61000.00,"Rochester Regional Health","New York",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other Scientist","Not Specified",PhD,21,Healthcare
"Data Scientist",4.6,"New York",2009,"Company - Private",Internet,"Information Technology",0,0,120000.00,160000.00,140000.00,<intent>,"New York",12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist","Not Specified","Not Specified",22,Corporate
"Data Scientist",3.5,"San Jose",2011,"Company - Private","Other Retail Stores",Retail,0,0,126000.00,201000.00,163500.00,Wish,California,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist","Not Specified","Not Specified",23,Corporate
"Data Scientist",4.1,Chantilly,1968,"Company - Public","Research & Development","Business Services",0,0,64000.00,106000.00,85000.00,ManTech,Virginia,53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"Data Scientist","Not Specified","Not Specified",24,Corporate
"Data Engineer",4.3,Chicago,1993,"Company - Public","Real Estate","Real Estate",0,0,80000.00,105000.00,92500.00,"Equity Residential",Illinois,28,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,"Data Engineer","Not Specified","Not Specified",25,Corporate
"Staff Data Scientist - Technology",3.2,Plano,1962,"Company - Public","Department, Clothing, & Shoe Stores",Retail,0,0,106000.00,172000.00,139000.00,Walmart,Texas,59,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"Data Scientist","Not Specified",Masters,26,Corporate
"Data Analyst",4.1,Seattle,2012,"Company - Private","Advertising & Marketing","Business Services",0,0,46000.00,85000.00,65500.00,Yesler,Washington,9,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,"Data Analyst","Not Specified","Not Specified",27,Corporate
"Marketing Data Analyst",3.6,Highland,1986,"Company - Private",Gambling,"Arts, Entertainment & Recreation",0,0,35000.00,62000.00,48500.00,"San Manuel Casino",California,35,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,"Data Analyst","Not Specified",Masters,28,Corporate
"Data Analyst",2.3,Baltimore,1986,"Company - Private","Research & Development","Business Services",0,0,43000.00,81000.00,62000.00,Synagro,Maryland,35,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Data Analyst","Not Specified","Not Specified",29,Corporate
"Data Scientist",3.7,Cambridge,1781,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",0,0,83000.00,144000.00,113500.00,"Takeda Pharmaceuticals",Massachusetts,240,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"Data Scientist","Not Specified",Masters,30,Corporate
"Medical Laboratory Scientist",4.0,Burleson,1977,Hospital,"Health Care Services & Hospitals","Health Care",1,0,37000.00,52000.00,44500.00,"Texas Health Huguley Hospital",Texas,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other Scientist","Not Specified","Not Specified",31,Healthcare
Scientist,3.4,Allendale,2015,"Company - Public","Consumer Products Manufacturing",Manufacturing,0,0,52000.00,113000.00,82500.00,"Edgewell Personal Care","New Jersey",6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other Scientist","Not Specified",Masters,32,Corporate
"Project Scientist",4.0,Alabaster,2000,"Other Organization","Architectural & Engineering Services","Business Services",0,0,29000.00,50000.00,39500.00,"Alliance Source Testing",Alabama,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other Scientist","Not Specified","Not Specified",33,Other
"Data Engineer I",3.6,Newark,1995,"Subsidiary or Business Segment","Motion Picture Production & Distribution",Media,0,0,102000.00,190000.00,146000.00,Audible,"New Jersey",26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Data Engineer","Not Specified","Not Specified",34,Corporate
"R&D Specialist/ Food Scientist",2.4,Hoopeston,NULL,"Company - Private","Food & Beverage Manufacturing",Manufacturing,0,0,39000.00,66000.00,52500.00,"Teasdale Latin Foods",Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other Scientist","Not Specified","Not Specified",35,Corporate
"Senior Data Scientist",4.3,Chicago,1993,"Company - Public","Real Estate","Real Estate",0,0,110000.00,150000.00,130000.00,"Equity Residential",Illinois,28,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,"Data Scientist",Senior,Masters,36,Corporate
"Data Scientist",3.6,"Santa Fe Springs",1966,"Company - Private","Industrial Manufacturing",Manufacturing,0,0,82000.00,133000.00,107500.00,"Accuride International",California,55,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"Data Scientist","Not Specified",Masters,37,Corporate
"Senior Research Scientist-Machine Learning",2.6,Pittsburgh,1984,"College / University","Colleges & Universities",Education,0,0,81000.00,167000.00,124000.00,"Software Engineering Institute",Pennsylvania,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ML Engineer",Senior,PhD,38,Education
"Scientist I/II, Biology",3.9,Cambridge,2011,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",0,0,67000.00,137000.00,102000.00,"Blueprint Medicines",Massachusetts,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Other Scientist","Not Specified",PhD,39,Corporate
"Data Analytics Manager",3.8,"Kansas City",2017,"Company - Private","Staffing & Outsourcing","Business Services",0,0,26000.00,55000.00,40500.00,"Full Potential Solutions",Missouri,4,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,"Data Scientist","Not Specified","Not Specified",40,Corporate
"Data Scientist",5.0,Washington,NULL,"Company - Private","Enterprise Software & Network Solutions","Information Technology",0,1,150000.00,160000.00,155000.00,"BPA Services","District of Columbia",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist","Not Specified","Not Specified",41,Corporate
"Analytics Manager - Data Mart",3.5,"Scotts Valley",1996,"Nonprofit Organization","Health Care Services & Hospitals","Health Care",0,0,42000.00,86000.00,64000.00,"Central California Alliance for Health",California,25,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"Data Scientist","Not Specified","Not Specified",42,Nonprofit
"Customer Data Scientist",4.3,"Mountain View",2011,"Company - Private","Enterprise Software & Network Solutions","Information Technology",0,0,118000.00,189000.00,153500.00,h2o.ai,California,10,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,"Data Scientist","Not Specified",Masters,43,Corporate
"Lead Data Scientist",3.7,Bellevue,1958,"Company - Public","IT Services","Information Technology",0,0,158000.00,211000.00,184500.00,"Visa Inc.",Washington,63,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,"Data Scientist",Senior,"Not Specified",44,Corporate
"Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics",3.7,Ashburn,1958,"Company - Public","IT Services","Information Technology",0,0,61000.00,118000.00,89500.00,"Visa Inc.",Virginia,63,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,"Data Scientist",Senior,Masters,45,Corporate
"Data Scientist - Health Data Analytics",4.2,"San Francisco",2010,"Company - Private","Enterprise Software & Network Solutions","Information Technology",0,0,110000.00,175000.00,142500.00,Nuna,California,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist","Not Specified","Not Specified",46,Corporate
"Associate Data Analyst",3.1,Longmont,1986,"Company - Private","Enterprise Software & Network Solutions","Information Technology",0,0,20000.00,39000.00,29500.00,Intrado,Colorado,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Data Analyst","Not Specified",Masters,47,Corporate
"Sr. Data Engineer - Contract-to-Hire (Java)",3.0,Knoxville,1958,"Company - Private","Gas Stations",Retail,0,0,69000.00,127000.00,98000.00,"Pilot Flying J Travel Centers LLC",Tennessee,63,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Data Engineer",Senior,Masters,48,Corporate
"Data Scientist",4.0,Denver,1915,"Nonprofit Organization","Insurance Carriers",Insurance,0,0,64000.00,111000.00,87500.00,"Pinnacol Assurance",Colorado,106,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,"Data Scientist","Not Specified",Masters,49,Nonprofit
"Spectral Scientist/Engineer",4.7,Beavercreek,1999,"Company - Private","Aerospace & Defense","Aerospace & Defense",0,0,56000.00,117000.00,86500.00,Centauri,Ohio,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other Scientist","Not Specified",Masters,50,Corporate
"Data Scientist",4.4,Chicago,2008,"Company - Private",Consulting,"Business Services",0,0,60000.00,102000.00,81000.00,"Maven Wave Partners",Illinois,13,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,"Data Scientist","Not Specified","Not Specified",51,Corporate
"MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB",3.6,Millville,1935,"Nonprofit Organization","Health Care Services & Hospitals","Health Care",1,0,43000.00,70000.00,56500.00,"Beebe Healthcare",Delaware,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other Scientist","Not Specified","Not Specified",52,Nonprofit
"Data Scientist",3.2,Seattle,2012,"Company - Private",Internet,"Information Technology",0,0,81000.00,130000.00,105500.00,Porch,Washington,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist","Not Specified",Masters,53,Corporate
"College Hire - Data Scientist - Open to December 2019 Graduates",3.7,Peoria,1925,"Company - Public","Industrial Manufacturing",Manufacturing,0,0,63000.00,99000.00,81000.00,Caterpillar,Illinois,96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Data Scientist","Not Specified","Not Specified",54,Corporate
"Senior Data Scientist",4.0,Herndon,2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology",0,0,112000.00,182000.00,147000.00,Novetta,Virginia,9,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,"Data Scientist",Senior,"Not Specified",55,Corporate
"Senior Data Scientist / Machine Learning",3.9,Dallas,2013,"Company - Private","Insurance Agencies & Brokerages",Insurance,0,0,73000.00,119000.00,96000.00,"Health IQ",Texas,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist",Senior,PhD,56,Corporate
"Food Scientist - Developer",3.3,Milwaukee,1964,"Company - Private","Food & Beverage Manufacturing",Manufacturing,0,0,40000.00,68000.00,54000.00,"Palermo's Pizza",Wisconsin,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other Scientist","Not Specified","Not Specified",57,Corporate
"Data Scientist",3.8,"Fort Lauderdale",1984,"Subsidiary or Business Segment","Advertising & Marketing","Business Services",0,0,68000.00,114000.00,91000.00,"Zimmerman Advertising",Florida,37,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,"Data Scientist","Not Specified","Not Specified",58,Corporate
"Data Scientist - Quantitative",3.8,Chicago,1995,"Company - Private","Logistics & Supply Chain","Transportation & Logistics",0,0,86000.00,139000.00,112500.00,Truckstop.com,Illinois,26,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,"Data Scientist","Not Specified",Masters,59,Corporate
"Data Scientist",3.2,"Fort Worth",1958,"Company - Private","Brokerage Services",Finance,0,0,64000.00,106000.00,85000.00,"First Command Financial Services, Inc.",Texas,63,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,"Data Scientist","Not Specified","Not Specified",60,Corporate
"Data Scientist, Office of Data Science",3.3,Boston,1912,"Company - Private","Insurance Carriers",Insurance,0,0,86000.00,143000.00,114500.00,"Liberty Mutual Insurance",Massachusetts,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist","Not Specified","Not Specified",61,Corporate
"Data Scientist",4.3,Louisville,1935,"Nonprofit Organization","Logistics & Supply Chain","Transportation & Logistics",0,0,63000.00,105000.00,84000.00,"SMC 3",Kentucky,86,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"Data Scientist","Not Specified",Masters,62,Nonprofit
"Data Science Analyst",4.6,Huntsville,2002,"Company - Private","Aerospace & Defense","Aerospace & Defense",0,0,41000.00,95000.00,68000.00,"Torch Technologies, Inc.",Alabama,19,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"Data Scientist","Not Specified","Not Specified",63,Corporate
"Staff Scientist-Downstream Process Development",2.7,Rockville,1961,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",0,0,49000.00,113000.00,81000.00,"Advanced BioScience Laboratories",Maryland,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Other Scientist","Not Specified",PhD,64,Corporate
"Associate Scientist",2.9,Valencia,1971,"Company - Private","Consumer Products Manufacturing",Manufacturing,0,0,51000.00,112000.00,81500.00,Pharmavite,California,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Other Scientist","Not Specified",Masters,65,Corporate
"Data Scientist",4.0,Herndon,2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology",0,0,109000.00,177000.00,143000.00,Novetta,Virginia,9,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,"Data Scientist","Not Specified","Not Specified",66,Corporate
"Sr. Data Engineer",3.4,Chicago,2005,"Company - Public","Transportation Management","Transportation & Logistics",0,0,75000.00,140000.00,107500.00,"Echo Global Logistics",Illinois,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Data Engineer",Senior,"Not Specified",67,Corporate
"Data Scientist",3.7,Armonk,1863,"Company - Public","Insurance Agencies & Brokerages",Insurance,0,0,86000.00,144000.00,115000.00,"Swiss Re","New York",158,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist","Not Specified",Masters,68,Corporate
"Scientist 2, QC Viral Vector",3.8,Novato,1997,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",0,0,113000.00,223000.00,168000.00,"BioMarin Pharmaceutical",California,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Other Scientist","Not Specified",PhD,69,Corporate
"Digital Health Data Scientist",4.0,Cambridge,1849,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",0,0,63000.00,110000.00,86500.00,Pfizer,Massachusetts,172,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist","Not Specified","Not Specified",70,Corporate
"Data Scientist",3.7,"San Diego",1939,"Company - Public","Aerospace & Defense","Aerospace & Defense",0,0,80000.00,139000.00,109500.00,"Northrop Grumman",California,82,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"Data Scientist","Not Specified","Not Specified",71,Corporate
"Data Scientist",3.7,Herndon,1995,"Company - Public","Aerospace & Defense","Aerospace & Defense",0,0,66000.00,112000.00,89000.00,"Lockheed Martin",Virginia,26,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,"Data Scientist","Not Specified","Not Specified",72,Corporate
"Data Scientist",3.5,Hillsboro,1952,"Company - Private","Banks & Credit Unions",Finance,0,0,75000.00,124000.00,99500.00,"First Tech Federal Credit Union",Oregon,69,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,"Data Scientist","Not Specified","Not Specified",73,Corporate
"Data Scientist",3.5,Albuquerque,1870,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",0,0,56000.00,95000.00,75500.00,Sartorius,"New Mexico",151,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist","Not Specified",Masters,74,Corporate
"Machine Learning Engineer",4.3,Aurora,2007,"Company - Private","Aerospace & Defense","Aerospace & Defense",0,0,72000.00,129000.00,100500.00,"Stratagem Group",Colorado,14,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,"ML Engineer","Not Specified","Not Specified",75,Corporate
"Associate Data Analyst",3.7,Worcester,1852,"Company - Public","Insurance Carriers",Insurance,0,0,34000.00,61000.00,47500.00,"The Hanover Insurance Group",Massachusetts,169,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Data Analyst","Not Specified","Not Specified",76,Corporate
"Senior Research Statistician- Data Scientist",4.8,Sheboygan,1925,"Company - Private","Insurance Carriers",Insurance,0,0,76000.00,125000.00,100500.00,"Acuity Insurance",Wisconsin,96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Data Scientist",Senior,Masters,77,Corporate
"Data Scientist",4.1,"San Francisco",2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology",0,0,120000.00,189000.00,154500.00,Netskope,California,9,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,"Data Scientist","Not Specified",PhD,78,Corporate
"Clinical Data Scientist",4.0,Groton,1849,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",0,0,63000.00,105000.00,84000.00,Pfizer,Connecticut,172,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist","Not Specified",Masters,79,Corporate
"Data Scientist",4.7,"Saint Louis",2016,"Company - Private","IT Services","Information Technology",0,0,111000.00,176000.00,143500.00,1904labs,Missouri,5,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,"Data Scientist","Not Specified","Not Specified",80,Corporate
"Data Scientist/ML Engineer",3.4,"New York",1943,"Company - Private",Consulting,"Business Services",0,0,71000.00,123000.00,97000.00,"PA Consulting","New York",78,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,"Data Scientist","Not Specified",Masters,81,Corporate
"Business Data Analyst, sql_",3.8,"New York",2002,"Company - Private","Travel Agencies","Travel & Tourism",0,0,44000.00,86000.00,65000.00,Fareportal,"New York",19,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,"Data Analyst","Not Specified","Not Specified",82,Corporate
"Senior Data Scientist",4.4,Cincinnati,1885,"Subsidiary or Business Segment","Metals Brokers","Mining & Metals",0,0,82000.00,132000.00,107000.00,"The David J. Joseph Company",Ohio,136,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,"Data Scientist",Senior,Masters,83,Corporate
"Data Engineer",5.0,Tampa,2017,"Company - Private","IT Services","Information Technology",0,1,120000.00,145000.00,132500.00,"Gridiron IT",Florida,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Data Engineer","Not Specified","Not Specified",84,Corporate
"Medical Technologist / Clinical Laboratory Scientist",3.4,"New Orleans",1930,Government,"Federal Agencies",Government,1,0,31000.00,52000.00,41500.00,"Veterans Affairs, Veterans Health Administration",Louisiana,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other Scientist","Not Specified",Masters,85,Government
"Data Engineer",4.3,Chicago,2008,"Company - Private","Computer Hardware & Software","Information Technology",0,0,80000.00,120000.00,100000.00,"Productive Edge",Illinois,13,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Data Engineer","Not Specified","Not Specified",86,Corporate
"Data Scientist",4.3,"New York",2011,"Company - Private",Consulting,"Business Services",0,0,84000.00,146000.00,115000.00,USEReady,"New York",10,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,"Data Scientist","Not Specified","Not Specified",87,Corporate
"Data Scientist",4.3,Dallas,1999,"Subsidiary or Business Segment",Consulting,"Business Services",0,0,53000.00,92000.00,72500.00,Credera,Texas,22,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,"Data Scientist","Not Specified",Masters,88,Corporate
"Senior Risk Data Scientist",3.8,"Palo Alto",2006,"Company - Public","Financial Transaction Processing",Finance,0,0,107000.00,172000.00,139500.00,Bill.com,California,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Data Scientist",Senior,Masters,89,Corporate
"Sr. Data Scientist",3.7,Denver,2011,"Company - Private","Travel Agencies","Travel & Tourism",0,0,80000.00,130000.00,105000.00,"Evolve Vacation Rental",Colorado,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist",Senior,Masters,90,Corporate
"Data Scientist in Artificial Intelligence Early Career",3.8,Richland,1965,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,49000.00,85000.00,67000.00,"Pacific Northwest National Laboratory",Washington,56,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"Data Scientist","Not Specified",Masters,91,Government
"Data Scientist",3.4,Chicago,1992,"Company - Private","Advertising & Marketing","Business Services",0,0,64000.00,111000.00,87500.00,"Spectrum Communications and Consulting",Illinois,29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Data Scientist","Not Specified","Not Specified",92,Corporate
"Data Scientist",3.8,Coraopolis,1948,"Company - Public","Sporting Goods Stores",Retail,0,0,61000.00,109000.00,85000.00,"DICK'S Sporting Goods - Corporate",Pennsylvania,73,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,"Data Scientist","Not Specified",Masters,93,Corporate
"Data Engineer 4 - Contract",4.2,Riverton,NULL,"Nonprofit Organization","Religious Organizations",Non-Profit,0,0,59000.00,115000.00,87000.00,"The Church of Jesus Christ of Latter-day Saints",Utah,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Data Engineer","Not Specified",Masters,94,Nonprofit
"Data Scientist",3.6,Detroit,1997,"Company - Private","Real Estate","Real Estate",0,0,72000.00,120000.00,96000.00,Amrock,Michigan,24,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Data Scientist","Not Specified",Masters,95,Corporate
